number,character,quote
381,sh,"Plain enough, but what's at the back of it? Raising the price on me,
     or afraid to tackle it, or what? I've a right to a plain answer."
382,sh,"you need not pain yourself by entering into
     that part of the story. After seeing you, I am prepared to accept Mr.
     Gibson's statement both as to the influence which you had over him
     and as to the innocence of your relations with him. But why was the
     whole situation not brought out in court?"
383,sh,What about your government and all this treatment?
384,sh,"There is more in this than meets the eye. How
     came the letter back in the box?"
385,mm,"Julian, of course, has a very solid intellect,"
386,hp,"It is of no use denying. That is the truth, is it not?"
387,mm,"He had a very young housekeeper—young enough to be not only his daughter, but his granddaughter. Not a word to anyone, and his family, a lot of nephews and nieces, full of expectations. And when he died, would you believe it, he’d been secretly married to her for two years? Of course Mr. Badger was a chemist, and a very rude, common old man as well, and Sir Ambrose Bercy was a very courtly gentleman, so Mrs. Bantry says, but for all that human nature is much the same everywhere."
388,hp,"You have had the evil chance, my friend,"
389,hp,"But most of my
successes have been obtained by the aid of the police. I admire
enormously your English police. If Inspector Raglan permits me to
assist him, I shall be both honored and flattered."
390,hp,But it’s ridiculous—quite ridiculous. Both he and Mercado are well-known men. They’ve been known for years.
391,sh,My uncle's voice is always remarkably low. I hardly spoke at all.
392,mm,"I have always intended, ever since I was a small boy, to live in the country someday and have a garden of my own. I have always been very much attached to flowers. My wife, you know, kept a flower shop. That’s where I saw her first."
393,hp,Perhaps you will be so kind as to repeat your story to me.
394,hp,"If you like to see it, it will, perhaps, refresh your memory."
395,hp,So you do not think that she is likely to be implicated in this crime?
396,sh,I glanced down at the new patent leathers which I was wearing.
397,mm,"I always get all the names wrong. And of course, it was Miss Knight I was thinking of. Not Miss Bishop. Why do I think of her as Miss Bishop?"
398,hp,"The matter begins to clear itself up wonderfully! The murderer was a man of great strength, he was feeble, it was a woman, it was a right-handed person, it was a left-handed person—Ah! c’est rigolo, tout ça!"
399,hp,"No, no, I do not agree with you. It’s infinitely more frightening."
400,sh,"Come, Watson, I think that we have more
     important work elsewhere."
401,hp,I’m not saying anything at all. I’m just full of natural admiration. What about the other two you’ve not had a guess at yet? The old American dame and the lady’s maid? I suppose we can take it that they’re the only innocent parties on the train?
402,mm,"Yes, a very beautiful and unusual face. Poor child."
403,hp,"Your husband loves you, Madame. I know it."
404,sh,"The word RACHE, written in letters of blood,"
405,hp,"Then I fail to understand you. Surely you are running the risk of
letting the murderer escape by thus putting him on his guard?"
406,hp,We’ll see what Colgate can make out of the typewriting alibi. In the meantime I’ve got the chambermaid of this floor waiting to be interviewed. A good deal may depend on her evidence.
407,hp,Except for the time when you went into the hotel to Captain Marshall’s room.
408,sh,"is upon your side, Dr. Leon
     Sterndale, and not upon mine. As a proof I will tell you some of the
     facts upon which my conclusions are based. Of your return from
     Plymouth, allowing much of your property to go on to Africa, I will
     say nothing save that it first informed me that you were one of the
     factors which had to be taken into account in reconstructing this
     drama--"
409,mm,"Do you think I could ever do a thing like that? Do you think I could strangle the girl I loved? Do you think I could bash her face in, crush her head to a pulp? Nothing but a vicious, depraved man would do a thing like that."
410,sh,"If I am Mr. Neville St. Clair, then it is obvious that no crime has
     been committed, and that, therefore, I am illegally detained."
411,hp,"Can I discuss in the presence of Dr. Leidner the motives likely to lead to the murder of his wife by a member of the expedition? That would not have been delicate at all. I had to sustain the fiction that his wife was adorable and that everyone adored her!

“But naturally it was not like that at all. Now we can be brutal and impersonal and say what we think. We have no longer to consider people’s feelings. And that is where Nurse Leatheran is going to help us. She is, I am sure, a very good observer."
412,hp,"No, Mr. Clarke. You were safe enough so long as no one suspected you. Once you were suspected proofs were easy to obtain."
413,mm,"Usually I am consulted fairly soon after whatever the—shall we call it—crime has happened, to judge such matters as treatment, possibilities in the case, prognosis favourable or unfavourable, all the various words. They do not mean much and I will not go into them. But occasionally also I am consulted by a responsible Head of such an institution for a particular reason. In this matter I received a communication from a certain Department which was passed to me through the Home Office. I went to visit the Head of this institution. In fact, the Governor responsible for the prisoners or patients or whatever you like to call them. He was by way of being a friend of mine. A friend of fairly long standing though not one with whom I was on terms of great intimacy. I went down to the institution in question and the Governor laid his troubles before me. They referred to one particular inmate. He was not satisfied about this inmate. He had certain doubts. This was the case of a young man or one who had been a young man, in fact little more than a boy, when he came there. That was now several years ago. As time went on, and after the present Governor had taken up his own residence there (he had not been there at the original arrival of this prisoner), he became worried. Not because he himself was a professional man, but because he was a man of experience of criminal patients and prisoners. To put it quite simply, this had been a boy who from his early youth had been completely unsatisfactory. You can call it by what term you like. A young delinquent, a young thug, a bad lot, a person of diminished responsibility. There are many terms. Some of them fit, some of them don’t fit, some of them are merely puzzling. He was a criminal type. That was certain. He had joined gangs, he had beaten up people, he was a thief, he had stolen, he had embezzled, he had taken part in swindles, he had initiated certain frauds. In fact, he was a son who would be any father’s despair."
414,mm,"She cried a great deal afterwards and said the leaves had been picked and brought in to her as sage, and how was she to know?"
415,mm,Mr. Rafiel always did things on a lavish scale.
416,mm,"I would suggest—this is just a mere suggestion—that the warning should come from somebody who is known to have rather unusual views on these matters. Dr. Haydock’s conversation would lead anyone to suppose that he might view such a thing as murder from an unusual angle. If he were to hint that somebody—Mrs. Sadler—or one of her children—had actually happened to see the transposing of the cachets—well, of course, if Mr. Redding is an innocent man, that statement will mean nothing to him, but if he isn’t—"
417,mm,"You wouldn’t like my opinion, dear. Young people never do, I notice. It is better to say nothing."
418,sh,"Oh, very well,
     madame, if you would rather she stayed I can see no objection. Now,
     Mr. Ferguson, I am a busy man with many calls, and my methods have to
     be short and direct.  The swiftest surgery is the least painful. Let
     me first say what will ease your mind. Your wife is a very good, a
     very loving, and a very ill-used woman."
419,hp,"Well, you seem to be doing all that can be done, Crome,"
420,mm,No. You were absent from the scene. You were—shall I put it this way—were you just possibly on duty elsewhere?
421,hp,"Yes. He’s an obstinate devil. And it’s difficult to see just where the flaw is. Supposing Strange is making a mistake and the man wasn’t Cust—why on earth should he say his name is Cust? And the writing in the hotel register is his all right. You can’t say he’s an accomplice—homicidal lunatics don’t have accomplices! Did the girl die later? The doctor was quite firm in his evidence, and anyway it would take some time for Cust to get out of the hotel at Eastbourne without being seen and get over to Bexhill—about fourteen miles away—"
422,mm,a glass of water would put me right.
423,sh,"If he waits a little longer he will get no price at all. The treaty
     will cease to be secret in a few months."
424,hp,"Yes, it’s much the best thing. It’s not been any too easy loafing about the house and making conversation."
425,hp,"Your mind works a funny way, doesn’t it, sir? But I dare say it comes out all right in the end. If you’ll excuse me asking, what put you on to asking about strangulation cases in general?"
426,hp,"But it’s ‘stubbed your toe,’ not stepped or stebbed."
427,sh,"My dear sir, you have done wonders. The horse looks very fit and
     well. It never went better in its life. I owe you a thousand
     apologies for having doubted your ability. You have done me a great
     service by recovering my horse. You would do me a greater still if
     you could lay your hands on the murderer of John Straker."
428,hp,"No, Monsieur. I have only two other passengers—both English. A Colonel from India, and a young English lady from Baghdad. Monsieur requires anything?"
429,mm,Was she going to—er—sleep in the barrow by any chance?
430,sh,"A lawyer, is he not, gray-headed, and walks
     with a limp?"
431,hp,"It’s a curious coincidence, but I was out for a walk
this afternoon on the Cranchester road, and he passed me in a car
coming from that direction."
432,mm,You’ll be saying this has nothing to do with what went on at Keston Spa Hydro—but it has in a way. It explains why I felt no doubt in my mind the first moment I saw the Sanders together that he meant to do away with her.
433,hp,"But once that good lady starts talking it’s a matter of the utmost
difficulty to get a word in edgeways."
434,mm,What—do you mean the house that’s been all done up and repainted at the end of the village? The people there haven’t been there very long. I don’t know what their names are. Why do you want to know? They’re not very interesting. At least I shouldn’t say they were.
435,mm,"I think it was about a fortnight. Miss Durrant was buried there, and it must have been about ten days later when she took a boat back to England. The shock had upset her so much that she felt she couldn’t spend the winter there as she had planned. That’s what she said."
436,sh,"I had misjudged you. I thank
     Heaven that my compunction at leaving poor Staunton all alone in this
     plight caused me to turn my carriage back, and so to make your
     acquaintance. Knowing as much as you do, the situation is very easily
     explained. A year ago Godfrey Staunton lodged in London for a time,
     and became passionately attached to his landlady's daughter, whom he
     married. She was as good as she was beautiful, and as intelligent as
     she was good. No man need be ashamed of such a wife. But Godfrey was
     the heir to this crabbed old nobleman, and it was quite certain that
     the news of his marriage would have been the end of his inheritance.
     I knew the lad well, and I loved him for his many excellent
     qualities. I did all I could to help him to keep things straight. We
     did our very best to keep the thing from everyone, for when once such
     a whisper gets about it is not long before everyone has heard it.
     Thanks to this lonely cottage and his own discretion, Godfrey has up
     to now succeeded. Their secret was known to no one save to me and to
     one excellent servant who has at present gone for assistance to
     Trumpington. But at last there came a terrible blow in the shape of
     dangerous illness to his wife. It was consumption of the most
     virulent kind. The poor boy was half crazed with grief, and yet he
     had to go to London to play this match, for he could not get out of
     it without explanations which would expose his secret. I tried to
     cheer him up by a wire, and he sent me one in reply imploring me to
     do all I could. This was the telegram which you appear in some
     inexplicable way to have seen. I did not tell him how urgent the
     danger was, for I knew that he could do no good here, but I sent the
     truth to the girl's father, and he very injudiciously communicated it
     to Godfrey. The result was that he came straight away in a state
     bordering on frenzy, and has remained in the same state, kneeling at
     the end of her bed, until this morning death put an end to her
     sufferings. That is all, Mr. Holmes, and I am sure that I can rely
     upon your discretion and that of your friend."
437,hp,"This alters everything, this does. I don’t know whether you’ve
realized it, Monsieur Poirot?"
438,sh,"I am sure we owe you an apology, Mrs. Toller,"
439,mm,I felt the poor girl’s hand and it was icy cold. Yet a short time later the Inspector spoke as though the murder must have been committed just before we arrived—and I saw nothing!
440,hp,"Why not say it—to me? I am one of those who hear many things. If, as you say, you boil inside—like the jam—eh bien, let the scum come to the surface, and then one can take it off with a spoon, so."
441,sh,"cried the clerk.

     Again and much louder cam the rat-tat-tat. We all gazed expectantly
     at the closed door. Glancing at Holmes, I saw his face turn rigid,
     and he leaned forward in intense excitement. Then suddenly came a low
     guggling, gargling sound, and a brisk drumming upon woodwork. Holmes
     sprang frantically across the room and pushed at the door. It was
     fastened on the inner side. Following his example, we threw ourselves
     upon it with all our weight. One hinge snapped, then the other, and
     down came the door with a crash. Rushing over it, we found ourselves
     in the inner room. It was empty.

     But it was only for a moment that we were at fault. At one corner,
     the corner nearest the room which we had left, there was a second
     door. Holmes sprang to it and pulled it open. A coat and waistcoat
     were lying on the floor, and from a hook behind the door, with his
     own braces round his neck, was hanging the managing director of the
     Franco-Midland Hardware Company. His knees were drawn up, his head
     hung at a dreadful angle to his body, and the clatter of his heels
     against the door made the noise which had broken in upon our
     conversation. In an instant I had caught him round the waist, and
     held him up while Holmes and Pycroft untied the elastic bands which
     had disappeared between the livid creases of skin. Then we carried
     him into the other room, where he lay with a clay-colored face,
     puffing his purple lips in and out with every breath--a dreadful
     wreck of all that he had been but five minutes before."
442,mm,"It seems odd after we’d all been mixed up so. He and you and I and some others. And then, later, when I’d come home, when six months had passed—it occurred to me one day how closely associated we had been in our time of stress, and yet how little I really knew about Mr. Rafiel. I was thinking it only the other day, after I’d seen the notice of his death. I wished I could know a little more. Where he was born, you know, and his parents. What they were like. Whether he had any children, or nephews or cousins or any family. I would so like to know."
443,sh,"and beneath were the following
     enigmatical notices:


     4th. Hudson came. Same old platform.
     7th. Set the pips on McCauley, Paramore, and John Swain, of St.
     Augustine.
     9th. McCauley cleared.
     10th. John Swain cleared.
     12th. Visited Paramore. All well."
444,sh,"No one could find his way into the Grimpen Mire
     to-night."
445,sh,"Percy Phelps was walking very slowly, leaning upon the arm of his
     future brother-in-law. Holmes walked swiftly across the lawn, and we
     were at the open window of the bedroom long before the others came
     up."
446,hp,"I don’t know if you’re trying to make me out a liar, M. Poirot, but
the matter does not rest on my evidence alone—except perhaps as to the
exact words used. Remember, Major Blunt also heard Mr. Ackroyd talking
to some one. He was on the terrace outside, and couldn’t catch the
words clearly, but he distinctly heard the voices."
447,hp,"Your hand was still on the handle as it is
now."
448,mm,"The question is, has it anything to do with the murder?"
449,hp,You mean to suggest that my wife’s former husband is one of the expedition and that she didn’t recognize him?
450,sh,"What is the use of asking me questions when I tell you I know
     nothing whatever about it?"
451,hp,"You may have noticed I had a new manservant today—a friend of mine—an expert sneak thief. He removed your pistol from your pocket, unloaded it, and returned it, all without you being aware of the fact."
452,mm,"You may not believe it, but my answer to that is, ‘Not really.’"
453,hp,"you’ve been bitten with all this
psychoanalysis stuff? Now, I’m a plain man——"
454,mm,"And Dr. Lloyd was so right in what he said. Between them they seem to have made things so very clear. Only I don’t think Dr. Lloyd quite realized one aspect of what he said. You see, not being Sir Ambrose’s medical adviser, he couldn’t know just what kind of heart trouble Sir Ambrose had, could he?"
455,mm,"Because youth is so often associated with suicide, with violence, with intense jealousy and tragic love. A man kills his girl—it happens. Yes, my mind went to them but it did not seem to me there was any association there. No shadow of evil, of despair, of misery. I used the idea of them later as a kind of false pointer when we were drinking sherry at The Old Manor House that last evening. I pointed out how they could be the most easy suspects in the death of Elizabeth Temple. When I see them again,"
456,hp,That’s what it looks like to me. Of course I don’t know anything….
457,hp,"But it’s so easy, isn’t it, to make a mistake of one day? And if you’re an obstinate, positive man, like Mr. Strange, you’ll never consider the possibility of having been mistaken. What you’ve said you’ll stick to…He’s that kind of man. And the hotel register—it’s very easy to put down the wrong date when you’re signing it—probably no one will notice it at the time."
458,hp,"No, of course not. I understand that. But you see, it is of importance to me, because I feel I might have done something."
459,mm,"That’s the thing that would stare you in the face, if there weren’t such a lot of red herrings to draw you off the trail—including the suggestion of foul play and remorse. No body. That was the real significant fact."
460,hp,"Do you really think
that’s the explanation of the telephone call?"
461,mm,"We have a police official there also, ready to take down anything. The Doctor thinks it advisable that he also should not be noticed by Miss Temple. One person alone, and that possibly a person she expects to see, will not alarm her or make her lose knowledge of what she wants to say to you. I hope this will not be too difficult a thing to ask you?"
462,sh,"I believe that they are
     really after us."
463,hp,"what passes exactly in the mind of the murderer? He kills, it would seem from his letters, pour le sport—to amuse himself. Can that really be true? And even if it is true, on what principle does he select his victims apart from the merely alphabetical one? If he kills merely to amuse himself he would not advertise the fact, since, otherwise, he could kill with impunity. But no, he seeks, as we all agree, to make the splash in the public eye—to assert his personality. In what way has his personality been suppressed that one can connect with the two victims he has so far selected? A final suggestion: Is his motive direct personal hatred of me, of Hercule Poirot? Does he challenge me in public because I have (unknown to myself) vanquished him somewhere in the course of my career? Or is his animosity impersonal—directed against a foreigner? And if so, what again has led to that? What injury has he suffered at a foreigner’s hand?"
464,sh,"I guess you're going
     to take me to the police-station,"
465,mm,"We wondered, you know. I thought you must have gone out for a walk somewhere and I did so hope you wouldn’t overtire yourself. If I had known you had come downstairs and gone out, I would have come with you to show anything there is to show. Not that there is very much."
466,hp,"Mind you, I don’t believe in it, because I know it isn’t true. But it is going to be the deuce to break it. This man Strange is a tough character."
467,hp,"I don’t understand, Monsieur Poirot. How did the person who shot her get away without our seeing him?"
468,mm,Do you really think she wants to marry that baldheaded dull man?
469,mm,"Yes, he had been very crippled for some years,"
470,mm,It surprises me that you didn’t lock your door.
471,mm,"You must have very good eyesight, Miss Marple, if you can observe as far as that."
472,hp,"No. There’s a niece. She’s in service near Overton. Very superior, steady young woman."
473,sh,"To the man of precisely scientific mind the work of Monsieur
     Bertillon must always appeal strongly."
474,mm,"Well, you know—about these boulders that fall down cliff sides and drop on top of someone. It’s not always in the course of nature. Boulders usually stay where they are, in my experience."
475,hp,but I thought you’d like to have the local colour correct.
476,hp,"It’s—it’s infamous that she should be victimized like this! She’s done nothing! If anyone likes to say I behaved like a cad, they’re welcome to say so! I suppose I did. But I won’t have the whole thing visited on Linnet. She had nothing whatever to do with it."
477,sh,"asked Athelney Jones, in a sneering voice, but
     impressed none the less, as I could easily see, by the precision of
     the other's manner."
478,sh,"Is
     it not extraordinary that a burglary--and a burglar who had had some
     previous experience--should deliberately break into a house at a time
     when he could see from the lights that two of the family were still
     afoot?"
479,mm,I shall apologize to them for having used them as useful characters to distract attention from my real ideas.
480,hp,perhaps M. le docteur will come with me to the dead man’s carriage.
481,mm,"No, you are right, I do not want it. All that life is gone—she’s gone—I can’t keep her with me. Anything I do now has got to be new—going forward. You—"
482,hp,"He is anxious to know if
he can be of any service, and he would be glad to have a word with you."
483,mm,"Oh yes, but this was arranged before his death. He mentioned that he was in ill health but wanted to provide a treat for a very old friend of his who had not had the opportunity of travelling as much as she could have wished."
484,hp,"That is valuable testimony coming from an outsider,"
485,hp,"Look here, M. Poirot. You went down to Churston, I know, and saw my sister-in-law. Did she say—or hint—I mean—did she suggest at all—?"
486,hp,"Went out just on nine o’clock last night. Was seen in neighborhood of
Fernly Park somewhere about nine-thirty. Not been seen since. Believed
to be in serious money difficulties. I’ve got a pair of his shoes
here—shoes with rubber studs in them. He had two pairs, almost exactly
alike. I’m going up now to compare them with those footmarks. The
constable is up there seeing that no one tampers with them."
487,mm,Do you mean a second body connected with the particular crime that we have been considering? A crime that took place ten years ago?
488,hp,"I think you are. I fancy you were
born in Kent."
489,mm,"She volunteered a lot of information—really a lot of information,"
490,mm,"What I suffer in the course of my profession from people weeping and gnashing their teeth, and blaming everything on some happening in the past, you would hardly believe. If people knew the bad environments that people have had, the unkindness, the difficulties of their lives and the fact that nevertheless they can come through unscathed, I don’t think they would so often take the opposite point of view. The misfits are to be pitied, yes, they are to be pitied if I may say so for the genes with which they are born and over which they have no control themselves. I pity epileptics in the same way. If you know what genes are—"
491,hp,"Have you any ideas of your own about the crime, M. Hardman?"
492,mm,"That’ll be all right. Several rooms have been vacated today, They won’t be full at all. Mrs. Sandbourne, I think, has booked for all the party to stay there tonight, and tomorrow we shall see—well, we shall see how this all goes on."
493,sh,"We had reached our house in Baker Street while we had been talking. 
     Holmes ascended the stair first, and as he opened the door of our
     room he gave a start of surprise.  Looking over his shoulder, I was
     equally astonished.  His brother Mycroft was sitting smoking in the
     arm-chair."
494,mm,"I’ve discovered the answers to a lot of things,"
495,mm,"Undoubtedly you are. Now it again took me quite by surprise. Why, you could have knocked me down with a feather that day in Melbourne."
496,mm,Very clear indeed. Gentlemen always make such excellent memoranda.
497,hp,And I don’t believe that Linda killed Arlena. It’s ridiculous—absurd!
498,sh,"It was just growing dusk at the time. They were lighting the lamps
     as I came back with the brandy."
499,sh,Do you know anything of this man Damery?
500,sh,"Inspector Martin had the good sense to allow my friend to do things
     in his own fashion, and contented himself with carefully noting the
     results. The local surgeon, an old, white-haired man, had just come
     down from Mrs. Hilton Cubitt's room, and he reported that her
     injuries were serious, but not necessarily fatal. The bullet had
     passed through the front of her brain, and it would probably be some
     time before she could regain consciousness. On the question of
     whether she had been shot or had shot herself he would not venture to
     express any decided opinion. Certainly the bullet had been discharged
     at very close quarters. There was only the one pistol found in the
     room, two barrels of which had been emptied. Mr. Hilton Cubitt had
     been shot through the heart. It was equally conceivable that he had
     shot her and then himself, or that she had been the criminal, for the
     revolver lay upon the floor midway between them."
501,mm,"I have dropped another stitch. I have been so interested in the story. A sad case, a very sad case. It reminds me of old Mr. Hargraves who lived up at the Mount. His wife never had the least suspicion—until he died, leaving all his money to a woman he had been living with and by whom he had five children. She had at one time been their housemaid. Such a nice girl, Mrs. Hargraves always said—thoroughly to be relied upon to turn the mattresses every day—except Fridays, of course. And there was old Hargraves keeping this woman in a house in the neighbouring town and continuing to be a Churchwarden and to hand round the plate every Sunday."
502,hp,Be quiet. I am telling you what I thought at the time. Let us remain impersonal.
503,mm,"You know, I shall never quite understand you. Your outlook is always a different one from what I expect."
504,sh,"You are like my friend,
     Dr. Watson, who has a bad habit of telling his stories wrong end
     foremost. Please arrange your thoughts and let me know, in their due
     sequence, exactly what those events are which have sent you out
     unbrushed and unkempt, with dress boots and waistcoat buttoned awry,
     in search of advice and assistance."
505,hp,"It strikes you as odd that Ackroyd should have flown into a rage about
so trivial a matter?"
506,sh,that you left your key in the door?
507,hp,What was the point of that question about the glasses?
508,mm,"That’s what you mean, isn’t it? When you know that someone is very rich, somehow, well, you don’t ask anymore. I mean you don’t ask to know anymore. You say ‘He is very rich’ or you say ‘He is enormously rich,’ and your voice just goes down a little because it’s so impressive, isn’t it, when you meet someone who is immensely rich."
509,hp,"if he loved her, why did he kill her? Where’s the motive? Can’t you speak, Leidner? Tell him he’s mad."
510,sh,"Tavernier, the French modeller, made it. He is as good at
     waxworks as your friend Straubenzee is at air-guns."
511,mm,"that was really very simple. The description that Emlyn and Joanna gave of the figure they had seen made it seem almost certain that these very bright coloured and noticeable clothes were meant to be noticed, and that therefore it would be very important that they should not be hidden locally or kept among the person’s own belongings. They must be got out of the way as soon as could be. And really there is only one way successfully of disposing of something. That is through the general post. Anything in the nature of clothes can be very easily dispatched to charities. Think how pleased the people who collect winter garments for Unemployed Mothers, or whatever the name of the charity, would be to find a nearly brand new woollen jumper. All I had to do was to find out the address where it had been sent."
512,sh,"Now, it was on those
     stairs that young Mr. Cunningham stood and saw the two men struggling
     just where we are. Old Mr. Cunningham was at that window--the second
     on the left--and he saw the fellow get away just to the left of that
     bush. So did the son. They are both sure of it on account of the
     bush. Then Mr. Alec ran out and knelt beside the wounded man. The
     ground is very hard, you see, and there are no marks to guide us."
513,sh,"It is a bad thing
     to speak of, but I will answer you the truth."
514,mm,"And during that time I expect she travelled, keeping away from anyone who might know her. That’s what I meant by saying that one lady of a certain age looks so like another. I don’t suppose the different photograph on her passport was ever noticed—you know what passports are. And then in March, she went down to this Cornish place and began to act queerly and draw attention to herself so that when people found her clothes on the beach and read her last letter they shouldn’t think of the commonsense conclusion."
515,mm,"It is very sad and I don’t like to think of it. He was a right-handed man, was he not? I mean to stab himself in the left shoulder he must have been. I was always so sorry for poor Jack Baynes in the War. He shot himself in the foot, you remember, after very severe fighting at Arras. He told me about it when I went to see him in hospital, and very ashamed of it he was. I don’t expect this poor man, Elliot Haydon, profited much by his wicked crime."
516,mm,"that if it’s the same person, that she’d be very suitable for my friend."
517,hp,Naturally it worries me. I cannot make head or tail of it.
518,hp,"We know now all that we can know. We have the evidence of the passengers, the evidence of their baggage, the evidence of our eyes. We can expect no further help. It must be our part now to use our brains."
519,hp,What are you looking at my hands for? Do you think—do you think—?
520,sh,"It may, of course, be a mere coincidence,
     or it may point to some nervousness which would indicate that he had
     reason to apprehend danger. Had you noticed anything unusual in his
     conduct, yesterday, Ames?"
521,sh,"but a country doctor, as you very astutely
     observed. I think that I am fairly justified in my inferences. As to
     the adjectives, I said, if I remember right, amiable, unambitious,
     and absent-minded. It is my experience that it is only an amiable man
     in this world who receives testimonials, only an unambitious one who
     abandons a London career for the country, and only an absent-minded
     one who leaves his stick and not his visiting-card after waiting an
     hour in your room."
522,mm,what possible kind of proposition Mr. Rafiel might have wanted to put up to me. It seems most unlikely.
523,mm,I didn’t think you would care to play.
524,sh,"Exactly. The candle, which was a new one, is not burned more than
     half an inch. He must have placed it on the table before he was
     attacked; otherwise, of course, it would have fallen when he fell.
     This shows that he was not attacked the instant that he entered the
     room. When Mr. Barker arrived the candle was lit and the lamp was
     out."
525,mm,"It wouldn’t—to you. But some of the families were very poor, and the old age pension was a great boon to the children. I know it’s difficult for anyone outside to understand. But what I really meant was that the whole thing hinged upon one old woman being so like any other old woman."
526,hp,Have you not read the papers in the last few days?
527,sh,"From their
     lightness and transparency, I should imagine that they are soluble in
     water,"
528,sh,He had recovered his self-possession in an instant.
529,hp,"Yes—it was good of you to come. I told Franklin. He said he wouldn’t forget to tell you. I hope Franklin isn’t going to be foolish…he’s so easily taken in, in spite of having knocked about the world so much. Men are like that…They remain boys…Franklin, in particular."
530,sh,"You have it, sir, just as it happened."
531,hp,we will delight the heart of M. Bouc and see the Italian.
532,mm,"I think hate would die out. You could try and keep it up artificially, but I think you would fail. It’s not as strong a force as love,"
533,hp,"on Wednesday. The
young man was not of himself important. But the firm he represented
interested me very much."
534,mm,is always worth noticing. You can throw it away later if it is only a coincidence.
535,sh,"The mention of my friend's name had an extraordinary effect upon the
     little man. The look of anger passed in an instant from his face. His
     features became tense and alert."
536,mm,"Well, Mrs. What’s-a-name won’t have heard mine at any time, will she?"
537,sh,"But he is right. Oh! I know that he is right. James never did it.
     And about his quarrel with his father, I am sure that the reason why
     he would not speak about it to the coroner was because I was
     concerned in it."
538,sh,"Kindly summon your men, and I will try."
539,hp,"I suppose we must
come if M. Poirot says so. But what is it all about? I like to know
beforehand."
540,hp,"To Let’ sign appeared in the windows. On the other side was a house with somewhat grimy muslin curtains.

To this house Poirot betook himself and, there being no bell, executed a series of sharp flourishes with the knocker.

The door was opened after some delay by a very dirty child with a nose that needed attention.

“Good evening,"
541,sh,"Well, Watson, what do you make of this?"
542,sh,"The facts, as you state them, are certainly most remarkable,"
543,sh,"They are coiners on a large scale, and
     have used the machine to form the amalgam which has taken the place
     of silver."
544,sh,"Come, Watson, let us see what
     he does."
545,mm,"I would only say that certain people remind me of certain other people that I have known, and that therefore I can presuppose a certain likeness between the way they would act. If you think I know all about what I am supposed to be doing here, you are wrong."
546,hp,"So did the late Mrs. Marshall. It is chic, eh? And very expensive?"
547,hp,"If that’s so, it’s going to simplify matters very much."
548,mm,"Nobody could come in or go out through my room without my seeing them, and even if anyone did manage to come in through my wife’s room without the electrician seeing them, how the devil could they get out again leaving the door locked and bolted on the inside?"
549,mm,"I take a great interest in all the local news,"
550,sh,"It is more than possible; it is probable,"
551,mm,that it would be pleasant to sit outside the hotel. There is a small terrace giving on the street. If I might persuade you?
552,sh,"I only wished to ask you how you would go
     from here to the Strand."
553,sh,"It is
     entirely a question of barometric pressure."
554,hp,You know perfectly. I am not so foolish as to argue with an infatuated man. I utter only the word of caution.
555,hp,is what we are about to find out.
556,hp,"I was saying to Mr. Gardener only this morning that we simply must make an excursion to Dartmoor. It’s quite near and the associations are all so romantic. And I’d like to see that convict prison—Princetown, isn’t it? I think we’d better fix up right away and go there tomorrow, Odell."
557,sh,"I cannot possibly advise you if you try to deceive me,"
558,hp,"Not at the moment. I require first a little more information. That I can get from our Special Legion. And then—then, when I have got the answer to a certain question, I will go and see A B C. We will be face to face at last—A B C and Hercule Poirot—the adversaries."
559,mm,"It’s not for me to say at this stage, but it looks to me as though somebody, naming no names, has been trying to be artful."
560,mm,"The—what one used to call the factors at school—are the same. There’s money, and the mutual attraction people of an—er—opposite sex—and there’s queerness of course—so many people are a little queer, aren’t they?—in fact, most people are when you know them well. And normal people do such astonishing things sometimes, and abnormal people are sometimes so very sane and ordinary. In fact, the only way is to compare people with other people you have known or come across. You’d be surprised if you knew how very few distinct types there are in all."
561,hp,Perhaps—but a manner does not make a murderer!
562,hp,"We can open our Court of Inquiry without more ado. First, I think, we should take the evidence of the Wagon Lit conductor. You probably know something about the man. What character has he? Is he a man in whose word you would place reliance?"
563,mm,"it’s a different kind of being sorry. I’m sorry for Verity because of all that she missed, all that she was so near to obtaining. A life of love and devotion and service to the man she had chosen, and whom she truly loved. Truly and in all verity. She missed all that and nothing can give that back to her. I’m sorry for her because of what she didn’t have. But she escaped what Clotilde had to suffer. Sorrow, misery, fear and a growing cultivation and imbibing of evil. Clotilde had to live with all those. Sorrow, frustrated love which she could never get back, she had to live with the two sisters who suspected, who were afraid of her, and she had to live with the girl she had kept there."
564,sh,"I am a busy man, and Dr. Watson has his patients to
     attend to. Let us agree that we meet here at this hour next Tuesday,
     and I shall be surprised if before we leave you again we are not able
     to explain, even if we cannot perhaps put an end to, your troubles.
     Meanwhile, keep us posted in what occurs."
565,hp,"Haven’t got the fancy manner for a place like that. No, I never had any connection with the Armstrong house—but I’m beginning to believe I’m about the only one on this train who hadn’t! Can you beat it—that’s what I say? Can you beat it?"
566,hp,"You know, I’m not much of a fellow for temples and sightseeing and all that, but a place like this sort of gets you, if you know what I mean. Those old Pharaohs must have been wonderful fellows."
567,mm,"Yet I hear you were wishing him out of the world not so long ago,"
568,hp,"We know that. On the other hand, I can’t see any way in which he could have come up against Linnet Doyle. Their orbits don’t touch."
569,hp,"Ah, mon cher, that would be indeed stretching coincidence a little too far,"
